alpha,L1_wt,test_r2,test_rmse
0.01,1.0,0.9699324963353589,0.2616697914944079
0.01,0.75,0.96992661832247,0.2616953676656018
0.01,0.5,0.9699185120035351,0.2617306354515878
0.01,0.25,0.9699087231798017,0.26177321690005484
0.001,1.0,0.9699041721852595,0.26179301139810646
0.001,0.75,0.9699011844176514,0.2618060058449215
0.001,0.5,0.9698982112168043,0.26181893629752134
0.001,0.25,0.969895252737942,0.2618318020903695
0.0001,1.0,0.969870694654337,0.2619385755573849
0.0001,0.75,0.9698703921460056,0.26193989052966227
0.0001,0.5,0.9698700898058972,0.2619412047640958
0.0001,0.25,0.9698697876341388,0.2619425182601446
0.0001,0.0,0.9684330402303241,0.26811510413919226
0.001,0.0,0.9681992962761247,0.26910592965607805
0.01,0.0,0.9671299631677465,0.2735930099866485
0.1,0.0,0.9661167975783669,0.27777753983255177
0.5,0.0,0.9651636043540164,0.2816576226096831
0.1,0.25,0.9649300053136387,0.28260038690405115
0.1,0.5,0.9642168542933119,0.28545927634089974
1.0,0.0,0.9640072420475242,0.28629414408838866
0.1,0.75,0.9637879698387193,0.2871648891044894
0.1,1.0,0.9633842978824672,0.2887610319584866
0.5,0.25,0.9619412141073465,0.294396313231446
0.5,0.5,0.9586689136290288,0.30679149263326283
1.0,0.25,0.9569151665049043,0.3132327126168691
0.5,0.75,0.9543505210233159,0.3224206243155959
0.5,1.0,0.9489338230396256,0.3410135022498021
1.0,0.5,0.9466384917066939,0.3485932315503144
1.0,0.75,0.9318915910755814,0.39382680259065844
1.0,1.0,0.9120445270885336,0.44754461515163546
