penalty,alpha,l1_ratio,learning_rate,test_r2,test_rmse,test_mae
l1,0.0001,0.5,adaptive,0.9654928375741049,0.280323512372495,0.2007617904439525
l1,0.0001,0.15,adaptive,0.9654928375741049,0.280323512372495,0.2007617904439525
l1,0.0001,0.85,adaptive,0.9654928375741049,0.280323512372495,0.2007617904439525
elasticnet,0.0001,0.85,adaptive,0.9654909952958829,0.28033099526840627,0.20076812034201583
elasticnet,0.0001,0.5,adaptive,0.965486699376885,0.28034844349361127,0.20078287623053037
elasticnet,0.0001,0.15,adaptive,0.9654824072801756,0.2803658751098596,0.2007976127200836
l2,0.0001,0.15,adaptive,0.9654805689802934,0.2803733407187368,0.20080392242736603
l2,0.0001,0.85,adaptive,0.9654805689802934,0.2803733407187368,0.20080392242736603
l2,0.0001,0.5,adaptive,0.9654805689802934,0.2803733407187368,0.20080392242736603
l1,0.001,0.85,adaptive,0.9654482774414611,0.28050444905398264,0.20074846938743082
l1,0.001,0.15,adaptive,0.9654482774414611,0.28050444905398264,0.20074846938743082
l1,0.001,0.5,adaptive,0.9654482774414611,0.28050444905398264,0.20074846938743082
elasticnet,0.001,0.85,adaptive,0.9654299619047026,0.28057878556314697,0.20081161029068292
elasticnet,0.001,0.5,adaptive,0.9653874987108025,0.2807510534522198,0.20095756350425684
elasticnet,0.001,0.15,constant,0.9647838127960192,0.2831887972609009,0.20921123847136244
l2,0.001,0.5,constant,0.9647728822733548,0.28323274241310786,0.20926758679815563
l2,0.001,0.85,constant,0.9647728822733548,0.28323274241310786,0.20926758679815563
l2,0.001,0.15,constant,0.9647728822733548,0.28323274241310786,0.20926758679815563
elasticnet,0.001,0.15,adaptive,0.964655380423746,0.2837047178022828,0.20310732138438484
l2,0.001,0.5,adaptive,0.9646422171178495,0.2837575425941096,0.20316387035987485
l2,0.001,0.85,adaptive,0.9646422171178495,0.2837575425941096,0.20316387035987485
l2,0.001,0.15,adaptive,0.9646422171178495,0.2837575425941096,0.20316387035987485
l1,0.01,0.5,constant,0.9646229642206949,0.2838347874161409,0.20776281981593211
l1,0.01,0.85,constant,0.9646229642206949,0.2838347874161409,0.20776281981593211
l1,0.01,0.15,constant,0.9646229642206949,0.2838347874161409,0.20776281981593211
elasticnet,0.01,0.85,constant,0.9645227195553419,0.2842366412607326,0.20832921672150737
elasticnet,0.01,0.5,constant,0.9642968159617907,0.2851401517143123,0.20958421706707814
l1,0.01,0.85,adaptive,0.9642370251874605,0.28537880856199166,0.2027100386159029
l1,0.01,0.15,adaptive,0.9642370251874605,0.28537880856199166,0.2027100386159029
l1,0.01,0.5,adaptive,0.9642370251874605,0.28537880856199166,0.2027100386159029
elasticnet,0.01,0.85,adaptive,0.9641124612581065,0.2858753696844341,0.2032473230594047
elasticnet,0.01,0.15,constant,0.9640819488372325,0.2859968728108621,0.21075303562294376
l2,0.01,0.85,constant,0.963993160808276,0.2863501412160284,0.21123060180911804
